"r$house.id","r$square","house_type.id","buildingType","constructionTime","renovationCondition","floor","ladderRatio","as.character(r$cjxiaoqu)"
829613,103,2111,3,2013,4,7,0.143,"都会华庭"
429614,51,1001,3,2013,4,7,0.13,"都会华庭"
629615,52.95,1111,3,2013,4,7,0.13,"都会华庭"
229616,47.76,1111,3,2013,1,7,0.122,"都会华庭"
929617,51,1011,3,2007,4,19,0.143,"丽景馨居"
529618,76.77,2111,4,2000,4,6,0.5,"爱这城一期"
429619,78.61,2211,1,2000,3,25,0.2,"爱这城一期"
429620,72.4,2111,1,2000,4,25,0.2,"爱这城一期"
329621,72.4,2111,1,2000,3,25,0.2,"爱这城一期"
629622,52.59,1111,1,2000,4,25,0.2,"爱这城一期"
829623,64.27,2211,4,2000,4,6,0.5,"爱这城一期"
629624,124.02,2212,1,2004,3,20,0.333,"爱这城一期"
229625,78.6,2111,1,2000,4,25,0.2,"爱这城一期"
729626,92.16,2112,4,1999,3,6,0.5,"公园"
629627,69.21,1111,3,2009,4,28,0.5,"朝阳无限"
429628,102.06,2211,3,2007,4,28,0.5,"朝阳无限"
229629,101,2211,4,2009,1,6,0.5,"晨光家园"
229630,102,2111,4,1993,3,3,0.5,"东恒时代三期"
129631,66.86,2111,4,1999,3,6,0.5,"东恒时代三期"
529632,70.71,2111,4,1997,4,6,0.5,"东恒时代三期"
829633,90.03,3111,4,1999,4,6,0.25,"东恒时代三期"
729634,66.69,2111,4,1999,4,6,0.5,"东恒时代三期"
129635,60.71,2111,4,1997,3,6,0.5,"东恒时代三期"
229636,102,2111,4,1993,3,3,0.5,"东恒时代三期"
229637,68.65,2111,4,1997,3,6,0.5,"东恒时代三期"
529638,67.2,2111,4,1997,1,6,0.5,"东恒时代三期"
829639,90.03,3111,4,1999,3,6,0.25,"东恒时代三期"
629640,68.48,2111,4,1997,1,6,0.5,"东恒时代三期"
529641,102,2211,4,1993,4,3,0.5,"东恒时代三期"
229642,102.08,2211,4,1993,3,3,0.5,"东恒时代三期"
529643,90.3,3111,4,1999,4,6,0.25,"东恒时代三期"
329644,70.71,2111,4,1997,4,6,0.5,"东恒时代三期"
729645,66.51,2111,4,1999,4,6,0.5,"东恒时代三期"
729646,71.71,2111,4,1999,4,6,0.25,"东恒时代三期"
829647,68,2111,4,1997,4,6,0.5,"东恒时代三期"
629648,70.71,2111,4,1997,4,6,0.5,"东恒时代三期"
729649,70.71,2111,4,1997,4,6,0.5,"东恒时代三期"
529650,85,1211,3,2010,4,10,0.2,"东恒时代一期"
829651,120,3211,3,2010,3,10,0.4,"东恒时代一期"
729652,88.22,2111,3,2010,4,10,0.4,"东恒时代一期"
129653,70,1111,3,2010,3,10,0.2,"东恒时代一期"
129654,60,1111,3,2010,3,5,0.333,"东恒时代一期"
529655,76,1211,3,2010,3,5,0.25,"东恒时代一期"
929656,54.68,1111,3,2010,3,10,0.2,"东恒时代一期"
129657,76,1211,3,2010,4,5,0.333,"东恒时代一期"
829658,89.11,2211,3,2010,4,10,0.25,"东恒时代一期"
629659,61.03,1011,3,2010,3,10,0.333,"东恒时代一期"
529660,93.66,2111,3,2010,3,10,0.25,"东恒时代一期"
729661,61,1011,3,2010,1,5,0.25,"东恒时代一期"
829662,91,2211,3,2010,3,10,0.4,"东恒时代一期"
229663,88.7,2111,3,2010,4,10,0.25,"东恒时代一期"
529664,80,1111,3,2010,3,10,0.2,"东恒时代一期"
429665,61,1111,3,2010,3,5,0.25,"东恒时代一期"
429666,79.93,1211,3,2010,4,10,0.2,"东恒时代一期"
929667,76.21,1111,3,2010,1,10,0.2,"东恒时代一期"
129668,131,3112,3,2010,3,10,0.5,"东恒时代一期"
829669,76,1111,3,2010,1,10,0.2,"东恒时代一期"
929670,89,2111,3,2010,3,10,0.2,"东恒时代一期"
429671,94,2111,3,2010,4,10,0.2,"东恒时代一期"
629672,80,1111,3,2010,1,10,0.2,"东恒时代一期"
829673,69.5,1111,3,2010,4,10,0.2,"东恒时代一期"
929674,89.33,2111,3,2010,4,10,0.2,"东恒时代一期"
